Istasyon_No,İl,Istasyon_Adi,datetime,ORTALAMA_SICAKLIK_°C,t2m_min,t2m_avg,t2m_max
17882,Isparta,Eği̇rdi̇r,1997-12-01,4.8,0.6269364,2.8379211,5.777583
17882,Isparta,Eği̇rdi̇r,1998-01-01,1.6,-2.257031,0.94607544,4.87342
17882,Isparta,Eği̇rdi̇r,1998-02-01,4.1,-2.346708,1.9485779,6.5863166
17882,Isparta,Eği̇rdi̇r,1998-03-01,3.7,-2.434969,1.2016602,5.2540903
17882,Isparta,Eği̇rdi̇r,1998-04-01,11.7,5.5253644,10.3697815,15.334169
17882,Isparta,Eği̇rdi̇r,1998-05-01,14.7,8.834129,13.376404,17.92532
17882,Isparta,Eği̇rdi̇r,1998-06-01,20.0,12.4277,18.355988,23.601755
17882,Isparta,Eği̇rdi̇r,1998-07-01,24.1,15.456869,22.541351,28.671288
17882,Isparta,Eği̇rdi̇r,1998-08-01,24.6,16.632967,23.380524,29.501698
17882,Isparta,Eği̇rdi̇r,1998-09-01,18.9,12.45606,17.413086,22.97101
17882,Isparta,Eği̇rdi̇r,1998-10-01,14.0,8.3265295,12.948517,18.407042
17882,Isparta,Eği̇rdi̇r,1998-11-01,9.9,5.4877667,8.382904,12.207159
17882,Isparta,Eği̇rdi̇r,1998-12-01,4.5,-0.30251878,2.563568,5.756209
17882,Isparta,Eği̇rdi̇r,1999-01-01,4.0,-1.257152,1.7361145,5.2969565
17882,Isparta,Eği̇rdi̇r,1999-02-01,3.6,-2.4283817,0.81710815,4.1882453
17882,Isparta,Eği̇rdi̇r,1999-03-01,6.3,0.5400105,4.651825,9.338611
17882,Isparta,Eği̇rdi̇r,1999-04-01,11.2,4.21747,9.167755,14.300803
17882,Isparta,Eği̇rdi̇r,1999-05-01,16.9,10.107102,15.608887,21.070694
17882,Isparta,Eği̇rdi̇r,1999-06-01,20.1,12.213117,17.930664,23.13015
17882,Isparta,Eği̇rdi̇r,1999-07-01,23.4,16.168964,22.373627,27.757738
17882,Isparta,Eği̇rdi̇r,1999-08-01,23.3,16.307604,21.880646,27.417492
17882,Isparta,Eği̇rdi̇r,1999-09-01,18.6,12.53644,17.747498,23.209585
17882,Isparta,Eği̇rdi̇r,1999-10-01,14.9,8.771763,13.153107,18.387651
17882,Isparta,Eği̇rdi̇r,1999-11-01,8.4,3.0180318,6.652069,11.24295
