Istasyon_No,İl,Istasyon_Adi,datetime,ORTALAMA_SICAKLIK_°C,t2m_min,t2m_avg,t2m_max
17882,Isparta,Eği̇rdi̇r,1995-12-01,3.5,-0.48046285,1.9298096,5.2014976
17882,Isparta,Eği̇rdi̇r,1996-01-01,0.9,-3.483805,-0.5488281,2.671169
17882,Isparta,Eği̇rdi̇r,1996-02-01,4.6,-1.426459,1.9474182,5.8813486
17882,Isparta,Eği̇rdi̇r,1996-03-01,4.4,-2.004368,1.5411072,4.977739
17882,Isparta,Eği̇rdi̇r,1996-04-01,8.6,1.7997863,6.6018677,11.234324
17882,Isparta,Eği̇rdi̇r,1996-05-01,16.7,9.476684,15.027313,20.497484
17882,Isparta,Eği̇rdi̇r,1996-06-01,20.1,11.734519,18.550812,24.242699
17882,Isparta,Eği̇rdi̇r,1996-07-01,23.9,16.47662,23.164062,29.07828
17882,Isparta,Eği̇rdi̇r,1996-08-01,22.6,15.748601,21.993622,27.732033
17882,Isparta,Eği̇rdi̇r,1996-09-01,17.5,11.722606,16.190918,21.237864
17882,Isparta,Eği̇rdi̇r,1996-10-01,11.5,6.624184,10.289215,14.782544
17882,Isparta,Eği̇rdi̇r,1996-11-01,7.8,3.6072896,7.9030457,12.873135
17882,Isparta,Eği̇rdi̇r,1996-12-01,6.5,2.4337227,4.6672974,7.3536053
17882,Isparta,Eği̇rdi̇r,1997-01-01,3.4,-1.2583146,2.160797,6.5388055
17882,Isparta,Eği̇rdi̇r,1997-02-01,1.7,-3.7671115,-0.08218384,4.344878
17882,Isparta,Eği̇rdi̇r,1997-03-01,3.8,-3.0048778,1.2166443,5.64403
17882,Isparta,Eği̇rdi̇r,1997-04-01,6.6,-0.17746583,3.9537048,8.351568
17882,Isparta,Eği̇rdi̇r,1997-05-01,16.6,9.003043,14.926056,20.47593
17882,Isparta,Eği̇rdi̇r,1997-06-01,19.4,12.698883,17.97293,22.89771
17882,Isparta,Eği̇rdi̇r,1997-07-01,22.8,14.413372,20.99228,26.657734
17882,Isparta,Eği̇rdi̇r,1997-08-01,20.6,13.968682,19.513458,24.956768
17882,Isparta,Eği̇rdi̇r,1997-09-01,16.6,10.17267,15.830536,21.56289
17882,Isparta,Eği̇rdi̇r,1997-10-01,13.0,7.870057,11.1839905,15.172595
17882,Isparta,Eği̇rdi̇r,1997-11-01,7.5,2.9377828,7.327057,11.752691
