Istasyon_No,Istasyon_Adi,YIL,AY,ORTALAMA_SICAKLIK_°C
17866,GÖKSUN,1970,12,-1.2
17866,GÖKSUN,1970,13,9.8
17866,GÖKSUN,1971,1,0.9
17866,GÖKSUN,1971,2,-0.7
17866,GÖKSUN,1971,3,3.0
17866,GÖKSUN,1971,4,6.4
17866,GÖKSUN,1971,5,13.0
17866,GÖKSUN,1971,6,17.4
17866,GÖKSUN,1971,7,21.4
17866,GÖKSUN,1971,8,20.0
17866,GÖKSUN,1971,9,17.4
17866,GÖKSUN,1971,10,9.7
17866,GÖKSUN,1971,11,4.7
17866,GÖKSUN,1971,12,-2.5
17866,GÖKSUN,1971,13,9.3
17866,GÖKSUN,1972,1,-12.9
17866,GÖKSUN,1972,2,-7.7
17866,GÖKSUN,1972,3,1.8
17866,GÖKSUN,1972,4,9.8
17866,GÖKSUN,1972,5,12.2
17866,GÖKSUN,1972,6,16.0
17866,GÖKSUN,1972,7,20.5
17866,GÖKSUN,1972,8,19.5
17866,GÖKSUN,1972,9,17.1
17866,GÖKSUN,1972,10,11.7
17866,GÖKSUN,1972,11,3.2
17866,GÖKSUN,1972,12,-2.0
17866,GÖKSUN,1972,13,7.5
17866,GÖKSUN,1973,1,-3.8
17866,GÖKSUN,1973,2,0.9
17866,GÖKSUN,1973,3,2.3
17866,GÖKSUN,1973,4,7.5
17866,GÖKSUN,1973,5,13.5
17866,GÖKSUN,1973,6,16.1
17866,GÖKSUN,1973,7,20.8
17866,GÖKSUN,1973,8,20.8
17866,GÖKSUN,1973,9,17.0
17866,GÖKSUN,1973,10,11.2
17866,GÖKSUN,1973,11,1.4
17866,GÖKSUN,1973,12,-4.3
17866,GÖKSUN,1973,13,8.7
17866,GÖKSUN,1974,1,-9.4
17866,GÖKSUN,1974,2,-4.0
17866,GÖKSUN,1974,3,5.6
17866,GÖKSUN,1974,4,6.8
17866,GÖKSUN,1974,5,13.2
17866,GÖKSUN,1974,6,18.0
17866,GÖKSUN,1974,7,20.7
17866,GÖKSUN,1974,8,19.1
17866,GÖKSUN,1974,9,14.9
17866,GÖKSUN,1974,10,13.1
17866,GÖKSUN,1974,11,4.6
17866,GÖKSUN,1974,12,-2.4
17866,GÖKSUN,1974,13,8.4
17866,GÖKSUN,1975,1,-11.5
17866,GÖKSUN,1975,2,-5.0
17866,GÖKSUN,1975,3,0.9
17866,GÖKSUN,1975,4,9.6
17866,GÖKSUN,1975,5,10.5
17866,GÖKSUN,1975,6,17.5
17866,GÖKSUN,1975,7,21.3
17866,GÖKSUN,1975,8,20.0
17866,GÖKSUN,1975,9,16.4
17866,GÖKSUN,1975,10,10.1
17866,GÖKSUN,1975,11,3.7
17866,GÖKSUN,1975,12,-3.8
17866,GÖKSUN,1975,13,7.5
17866,GÖKSUN,1976,1,-4.9
17866,GÖKSUN,1976,2,-11.5
17866,GÖKSUN,1976,3,-0.8
17866,GÖKSUN,1976,4,7.4
17866,GÖKSUN,1976,5,11.7
17866,GÖKSUN,1976,6,17.0
17866,GÖKSUN,1976,7,18.8
17866,GÖKSUN,1976,8,19.8
17866,GÖKSUN,1976,9,15.1
17866,GÖKSUN,1976,10,11.2
17866,GÖKSUN,1976,11,5.9
17866,GÖKSUN,1976,12,0.3
17866,GÖKSUN,1976,13,7.6
17866,GÖKSUN,1977,1,-8.3
17866,GÖKSUN,1977,2,-0.8
17866,GÖKSUN,1977,3,2.4
17866,GÖKSUN,1977,4,8.4
17866,GÖKSUN,1977,5,13.2
17866,GÖKSUN,1977,6,17.3
17866,GÖKSUN,1977,7,20.2
17866,GÖKSUN,1977,8,20.8
17866,GÖKSUN,1977,9,15.6
17866,GÖKSUN,1977,10,8.5
17866,GÖKSUN,1977,11,5.7
17866,GÖKSUN,1977,12,-3.4
17866,GÖKSUN,1977,13,8.3
17866,GÖKSUN,1978,1,-1.7
17866,GÖKSUN,1978,2,1.3
17866,GÖKSUN,1978,3,4.4
17866,GÖKSUN,1978,4,7.7
17866,GÖKSUN,1978,5,13.9
17866,GÖKSUN,1978,6,16.4
17866,GÖKSUN,1978,7,21.2
17866,GÖKSUN,1978,8,19.5
17866,GÖKSUN,1978,9,16.0
17866,GÖKSUN,1978,10,12.0
17866,GÖKSUN,1978,11,2.2
17866,GÖKSUN,1978,12,1.2
17866,GÖKSUN,1978,13,9.6
17866,GÖKSUN,1979,1,-0.7
17866,GÖKSUN,1979,2,2.6
17866,GÖKSUN,1979,3,5.4
17866,GÖKSUN,1979,4,8.9
17866,GÖKSUN,1979,5,13.4
17866,GÖKSUN,1979,6,16.5
17866,GÖKSUN,1979,7,19.3
17866,GÖKSUN,1979,8,20.8
17866,GÖKSUN,1979,9,17.2
17866,GÖKSUN,1979,10,11.9
17866,GÖKSUN,1979,11,6.3
17866,GÖKSUN,1979,12,-1.5
17866,GÖKSUN,1979,13,10.0
17866,GÖKSUN,1980,1,-8.6
17866,GÖKSUN,1980,2,-5.3
17866,GÖKSUN,1980,3,1.4
17866,GÖKSUN,1980,4,7.5
17866,GÖKSUN,1980,5,12.7
17866,GÖKSUN,1980,6,17.8
17866,GÖKSUN,1980,7,22.4
17866,GÖKSUN,1980,8,20.5
17866,GÖKSUN,1980,9,16.0
17866,GÖKSUN,1980,10,11.1
17866,GÖKSUN,1980,11,4.7
17866,GÖKSUN,1980,12,0.6
17866,GÖKSUN,1980,13,8.5
17866,GÖKSUN,1981,1,-1.1
17866,GÖKSUN,1981,2,-1.1
17866,GÖKSUN,1981,3,4.3
17866,GÖKSUN,1981,4,8.1
17866,GÖKSUN,1981,5,10.2
17866,GÖKSUN,1981,6,17.2
17866,GÖKSUN,1981,7,21.1
17866,GÖKSUN,1981,8,20.5
17866,GÖKSUN,1981,9,17.0
17866,GÖKSUN,1981,10,12.3
17866,GÖKSUN,1981,11,3.0
17866,GÖKSUN,1981,12,3.1
17866,GÖKSUN,1981,13,9.6
17866,GÖKSUN,1982,1,-0.6
17866,GÖKSUN,1982,2,-5.7
17866,GÖKSUN,1982,3,1.0
17866,GÖKSUN,1982,4,8.9
17866,GÖKSUN,1982,5,12.8
17866,GÖKSUN,1982,6,16.9
17866,GÖKSUN,1982,7,18.5
17866,GÖKSUN,1982,8,19.5
17866,GÖKSUN,1982,9,16.8
17866,GÖKSUN,1982,10,10.4
17866,GÖKSUN,1982,11,2.7
17866,GÖKSUN,1982,12,-1.6
17866,GÖKSUN,1982,13,8.4
17866,GÖKSUN,1983,1,-9.8
17866,GÖKSUN,1983,2,-5.2
17866,GÖKSUN,1983,3,0.6
17866,GÖKSUN,1983,4,8.5
17866,GÖKSUN,1983,5,12.8
17866,GÖKSUN,1983,6,16.1
17866,GÖKSUN,1983,7,19.8
17866,GÖKSUN,1983,8,19.1
17866,GÖKSUN,1983,9,15.4
17866,GÖKSUN,1983,10,9.7
17866,GÖKSUN,1983,11,6.8
17866,GÖKSUN,1983,12,1.1
17866,GÖKSUN,1983,13,8.0
17866,GÖKSUN,1984,1,0.0
17866,GÖKSUN,1984,2,0.7
17866,GÖKSUN,1984,3,4.6
17866,GÖKSUN,1984,4,6.7
17866,GÖKSUN,1984,5,13.1
17866,GÖKSUN,1984,6,17.2
17866,GÖKSUN,1984,7,20.2
17866,GÖKSUN,1984,8,17.8
17866,GÖKSUN,1984,9,17.7
17866,GÖKSUN,1984,10,10.2
17866,GÖKSUN,1984,11,4.5
17866,GÖKSUN,1984,12,-7.7
17866,GÖKSUN,1984,13,8.8
17866,GÖKSUN,1985,1,-1.4
17866,GÖKSUN,1985,2,-4.0
17866,GÖKSUN,1985,3,0.7
17866,GÖKSUN,1985,4,9.9
17866,GÖKSUN,1985,5,14.4
17866,GÖKSUN,1985,6,17.8
17866,GÖKSUN,1985,7,19.2
17866,GÖKSUN,1985,8,21.2
17866,GÖKSUN,1985,9,15.7
17866,GÖKSUN,1985,10,8.2
17866,GÖKSUN,1985,11,6.8
17866,GÖKSUN,1985,12,-0.2
17866,GÖKSUN,1985,13,9.1
17866,GÖKSUN,1986,1,-1.4
17866,GÖKSUN,1986,2,-0.1
17866,GÖKSUN,1986,3,4.5
17866,GÖKSUN,1986,4,10.3
17866,GÖKSUN,1986,5,9.7
17866,GÖKSUN,1986,6,15.5
17866,GÖKSUN,1986,7,21.1
17866,GÖKSUN,1986,8,21.2
17866,GÖKSUN,1986,9,17.0
17866,GÖKSUN,1986,10,9.9
17866,GÖKSUN,1986,11,1.9
17866,GÖKSUN,1986,12,-1.2
17866,GÖKSUN,1986,13,9.1
17866,GÖKSUN,1987,1,-4.8
17866,GÖKSUN,1987,2,0.4
17866,GÖKSUN,1987,3,-2.8
17866,GÖKSUN,1987,4,6.8
17866,GÖKSUN,1987,5,12.4
17866,GÖKSUN,1987,6,17.4
17866,GÖKSUN,1987,7,21.2
17866,GÖKSUN,1987,8,19.8
17866,GÖKSUN,1987,9,15.7
17866,GÖKSUN,1987,10,9.2
17866,GÖKSUN,1987,11,1.9
17866,GÖKSUN,1987,12,-0.1
17866,GÖKSUN,1987,13,8.1
17866,GÖKSUN,1988,1,-1.6
17866,GÖKSUN,1988,2,-1.0
17866,GÖKSUN,1988,3,0.5
17866,GÖKSUN,1988,4,8.2
17866,GÖKSUN,1988,5,13.5
17866,GÖKSUN,1988,6,16.3
17866,GÖKSUN,1988,7,20.7
17866,GÖKSUN,1988,8,20.2
17866,GÖKSUN,1988,9,15.6
17866,GÖKSUN,1988,10,10.2
17866,GÖKSUN,1988,11,-1.5
17866,GÖKSUN,1988,12,-0.5
17866,GÖKSUN,1988,13,8.4
17866,GÖKSUN,1989,1,-8.6
17866,GÖKSUN,1989,2,-2.8
17866,GÖKSUN,1989,3,5.8
17866,GÖKSUN,1989,4,12.7
17866,GÖKSUN,1989,5,13.5
17866,GÖKSUN,1989,6,17.3
17866,GÖKSUN,1989,7,21.4
17866,GÖKSUN,1989,8,21.3
17866,GÖKSUN,1989,9,16.2
17866,GÖKSUN,1989,10,9.6
17866,GÖKSUN,1989,11,4.5
17866,GÖKSUN,1989,12,-4.5
17866,GÖKSUN,1989,13,8.9
17866,GÖKSUN,1990,1,-7.4
17866,GÖKSUN,1990,2,-2.7
17866,GÖKSUN,1990,3,3.7
17866,GÖKSUN,1990,4,7.9
17866,GÖKSUN,1990,5,12.1
17866,GÖKSUN,1990,6,17.1
17866,GÖKSUN,1990,7,22.0
17866,GÖKSUN,1990,8,19.8
17866,GÖKSUN,1990,9,15.7
17866,GÖKSUN,1990,10,10.6
17866,GÖKSUN,1990,11,5.4
17866,GÖKSUN,1990,12,1.0
17866,GÖKSUN,1990,13,8.8
17866,GÖKSUN,1991,1,-5.9
17866,GÖKSUN,1991,2,-6.9
17866,GÖKSUN,1991,3,4.5
17866,GÖKSUN,1991,4,8.9
