Istasyon_No,Istasyon_Adi,YIL,AY,ORTALAMA_SICAKLIK_°C
17907,KADİRLİ,2009,9,22.7
17907,KADİRLİ,2009,10,23.6
17907,KADİRLİ,2009,11,14.9
17907,KADİRLİ,2009,12,13.3
17907,KADİRLİ,2010,1,11.6
17907,KADİRLİ,2010,2,12.6
17907,KADİRLİ,2010,3,15.7
17907,KADİRLİ,2010,4,17.8
17907,KADİRLİ,2010,5,23.0
17907,KADİRLİ,2010,6,25.8
17907,KADİRLİ,2010,7,28.3
17907,KADİRLİ,2010,8,31.0
17907,KADİRLİ,2010,9,28.3
17907,KADİRLİ,2010,10,21.7
17907,KADİRLİ,2010,11,18.0
17907,KADİRLİ,2010,12,12.7
17907,KADİRLİ,2010,13,20.7
17907,KADİRLİ,2011,1,10.6
17907,KADİRLİ,2011,2,10.9
17907,KADİRLİ,2011,3,13.4
17907,KADİRLİ,2011,4,16.8
17907,KADİRLİ,2011,5,20.9
17907,KADİRLİ,2011,6,25.0
17907,KADİRLİ,2011,7,28.7
17907,KADİRLİ,2011,8,29.5
17907,KADİRLİ,2011,9,27.2
17907,KADİRLİ,2011,10,20.5
17907,KADİRLİ,2011,11,12.1
17907,KADİRLİ,2011,12,10.1
17907,KADİRLİ,2011,13,19.2
17907,KADİRLİ,2012,1,8.4
17907,KADİRLİ,2012,2,10.2
17907,KADİRLİ,2012,3,11.7
17907,KADİRLİ,2012,4,19.3
17907,KADİRLİ,2012,5,21.7
17907,KADİRLİ,2012,6,27.4
17907,KADİRLİ,2012,7,30.1
17907,KADİRLİ,2012,8,29.9
17907,KADİRLİ,2012,9,28.1
17907,KADİRLİ,2012,10,22.0
17907,KADİRLİ,2012,11,17.0
17907,KADİRLİ,2012,12,10.8
17907,KADİRLİ,2012,13,20.3
17907,KADİRLİ,2013,1,10.3
17907,KADİRLİ,2013,2,13.0
17907,KADİRLİ,2013,3,14.8
17907,KADİRLİ,2013,4,18.7
17907,KADİRLİ,2013,5,23.8
17907,KADİRLİ,2013,6,26.0
17907,KADİRLİ,2013,7,28.6
17907,KADİRLİ,2013,8,29.5
17907,KADİRLİ,2013,9,25.9
17907,KADİRLİ,2013,10,19.6
17907,KADİRLİ,2013,11,18.1
17907,KADİRLİ,2013,12,10.2
17907,KADİRLİ,2013,13,19.9
17907,KADİRLİ,2014,1,12.4
17907,KADİRLİ,2014,2,12.7
17907,KADİRLİ,2014,3,15.9
17907,KADİRLİ,2014,4,19.0
17907,KADİRLİ,2014,5,21.9
17907,KADİRLİ,2014,6,25.7
17907,KADİRLİ,2014,7,28.3
17907,KADİRLİ,2014,8,29.4
17907,KADİRLİ,2014,9,25.9
17907,KADİRLİ,2014,10,21.3
17907,KADİRLİ,2014,11,15.1
17907,KADİRLİ,2014,12,13.5
17907,KADİRLİ,2014,13,20.1
17907,KADİRLİ,2015,1,9.5
17907,KADİRLİ,2015,2,11.7
17907,KADİRLİ,2015,3,14.7
17907,KADİRLİ,2015,4,16.6
17907,KADİRLİ,2015,5,22.6
17907,KADİRLİ,2015,6,24.8
17907,KADİRLİ,2015,7,28.5
17907,KADİRLİ,2015,8,30.1
17907,KADİRLİ,2015,9,28.9
17907,KADİRLİ,2015,10,22.7
17907,KADİRLİ,2015,11,17.0
17907,KADİRLİ,2015,12,11.0
17907,KADİRLİ,2015,13,19.9
17907,KADİRLİ,2016,1,8.2
17907,KADİRLİ,2016,2,14.0
17907,KADİRLİ,2016,3,15.8
17907,KADİRLİ,2016,4,20.8
17907,KADİRLİ,2016,5,21.1
17907,KADİRLİ,2016,6,26.7
17907,KADİRLİ,2016,7,29.4
17907,KADİRLİ,2016,8,30.0
17907,KADİRLİ,2016,9,25.7
17907,KADİRLİ,2016,10,22.5
17907,KADİRLİ,2016,11,15.4
17907,KADİRLİ,2016,12,8.3
17907,KADİRLİ,2016,13,19.8
17907,KADİRLİ,2017,1,8.2
17907,KADİRLİ,2017,2,10.4
17907,KADİRLİ,2017,3,15.0
17907,KADİRLİ,2017,4,18.3
17907,KADİRLİ,2017,5,21.2
17907,KADİRLİ,2017,6,25.7
17907,KADİRLİ,2017,7,30.2
17907,KADİRLİ,2017,8,30.2
17907,KADİRLİ,2017,9,28.1
17907,KADİRLİ,2017,10,21.5
17907,KADİRLİ,2017,11,15.4
17907,KADİRLİ,2017,12,12.8
17907,KADİRLİ,2017,13,19.8
17907,KADİRLİ,2018,1,10.3
17907,KADİRLİ,2018,2,13.5
17907,KADİRLİ,2018,3,16.9
17907,KADİRLİ,2018,4,20.0
17907,KADİRLİ,2018,5,24.0
17907,KADİRLİ,2018,6,25.3
17907,KADİRLİ,2018,7,28.6
17907,KADİRLİ,2018,8,29.6
17907,KADİRLİ,2018,9,28.0
17907,KADİRLİ,2018,10,22.6
17907,KADİRLİ,2018,11,16.3
17907,KADİRLİ,2018,12,11.9
17907,KADİRLİ,2018,13,20.6
17907,KADİRLİ,2019,1,9.5
17907,KADİRLİ,2019,2,11.9
17907,KADİRLİ,2019,3,13.5
17907,KADİRLİ,2019,4,16.9
17907,KADİRLİ,2019,5,24.2
17907,KADİRLİ,2019,6,26.7
17907,KADİRLİ,2019,7,28.0
17907,KADİRLİ,2019,8,29.4
17907,KADİRLİ,2019,9,26.9
17907,KADİRLİ,2019,10,23.9
17907,KADİRLİ,2019,11,17.8
17907,KADİRLİ,2019,12,11.5
17907,KADİRLİ,2019,13,20.1
17907,KADİRLİ,2020,1,9.3
17907,KADİRLİ,2020,2,10.1
17907,KADİRLİ,2020,3,15.2
17907,KADİRLİ,2020,4,17.7
17907,KADİRLİ,2020,5,22.9
17907,KADİRLİ,2020,6,25.0
17907,KADİRLİ,2020,7,29.6
17907,KADİRLİ,2020,8,29.7
17907,KADİRLİ,2020,9,29.7
17907,KADİRLİ,2020,10,25.2
17907,KADİRLİ,2020,11,16.1
17907,KADİRLİ,2020,12,13.2
17907,KADİRLİ,2020,13,20.4
17907,KADİRLİ,2021,1,12.0
17907,KADİRLİ,2021,2,12.9
17907,KADİRLİ,2021,3,13.3
17907,KADİRLİ,2021,4,18.6
17907,KADİRLİ,2021,5,23.8
17907,KADİRLİ,2021,6,25.7
17907,KADİRLİ,2021,7,30.1
17907,KADİRLİ,2021,8,30.4
17907,KADİRLİ,2021,9,26.4
17907,KADİRLİ,2021,10,22.1
17907,KADİRLİ,2021,11,16.9
17907,KADİRLİ,2021,12,11.9
17907,KADİRLİ,2021,13,20.4
17907,KADİRLİ,2022,1,8.8
17907,KADİRLİ,2022,2,11.7
17907,KADİRLİ,2022,3,10.2
17907,KADİRLİ,2022,4,20.3
17907,KADİRLİ,2022,5,21.8
17907,KADİRLİ,2022,6,25.6
17907,KADİRLİ,2022,7,29.2
17907,KADİRLİ,2022,8,29.9
17907,KADİRLİ,2022,9,27.3
17907,KADİRLİ,2022,10,23.1
17907,KADİRLİ,2022,11,17.1
17907,KADİRLİ,2022,12,13.6
17907,KADİRLİ,2022,13,19.9
17907,KADİRLİ,2023,1,11.8
17907,KADİRLİ,2023,2,9.7
17907,KADİRLİ,2023,3,15.6
17907,KADİRLİ,2023,4,17.4
17907,KADİRLİ,2023,5,22.3
17907,KADİRLİ,2023,6,25.7
