Istasyon_No,Istasyon_Adi,YIL,AY,ORTALAMA_SICAKLIK_°C
17908,KOZAN,1972,11,15.2
17908,KOZAN,1972,12,10.3
17908,KOZAN,1972,13,18.5
17908,KOZAN,1973,1,9.1
17908,KOZAN,1973,2,12.8
17908,KOZAN,1973,3,13.4
17908,KOZAN,1973,4,16.7
17908,KOZAN,1973,5,22.0
17908,KOZAN,1973,6,24.5
17908,KOZAN,1973,7,28.6
17908,KOZAN,1973,8,29.5
17908,KOZAN,1973,9,27.7
17908,KOZAN,1973,10,22.7
17908,KOZAN,1973,11,13.4
17908,KOZAN,1973,12,11.5
17908,KOZAN,1973,13,19.4
17908,KOZAN,1974,1,8.7
17908,KOZAN,1974,2,11.6
17908,KOZAN,1974,3,15.6
17908,KOZAN,1974,4,16.8
17908,KOZAN,1974,5,21.5
17908,KOZAN,1974,6,26.4
17908,KOZAN,1974,7,29.2
17908,KOZAN,1974,8,28.1
17908,KOZAN,1974,9,25.6
17908,KOZAN,1974,10,23.4
17908,KOZAN,1974,11,15.9
17908,KOZAN,1974,12,10.7
17908,KOZAN,1974,13,19.5
17908,KOZAN,1975,1,9.3
17908,KOZAN,1975,2,9.3
17908,KOZAN,1975,3,15.2
17908,KOZAN,1975,4,19.3
17908,KOZAN,1975,5,21.6
17908,KOZAN,1975,6,25.7
17908,KOZAN,1975,7,29.3
17908,KOZAN,1975,8,28.9
17908,KOZAN,1975,9,27.8
17908,KOZAN,1975,10,22.1
17908,KOZAN,1975,11,15.4
17908,KOZAN,1975,12,9.5
17908,KOZAN,1975,13,19.5
17908,KOZAN,1976,1,9.0
17908,KOZAN,1976,2,8.4
17908,KOZAN,1976,3,13.7
17908,KOZAN,1976,4,17.1
17908,KOZAN,1976,5,21.5
17908,KOZAN,1976,6,25.7
17908,KOZAN,1976,7,27.8
17908,KOZAN,1976,8,27.6
17908,KOZAN,1976,9,24.4
17908,KOZAN,1976,10,21.3
17908,KOZAN,1976,11,17.6
17908,KOZAN,1976,12,11.2
17908,KOZAN,1976,13,18.8
17908,KOZAN,1977,1,7.5
17908,KOZAN,1977,2,13.3
17908,KOZAN,1977,3,12.9
17908,KOZAN,1977,4,18.7
17908,KOZAN,1977,5,21.7
17908,KOZAN,1977,6,25.5
17908,KOZAN,1977,7,29.1
17908,KOZAN,1977,8,30.9
17908,KOZAN,1977,9,26.1
17908,KOZAN,1977,10,19.9
17908,KOZAN,1977,11,16.1
17908,KOZAN,1977,12,10.3
17908,KOZAN,1977,13,19.4
17908,KOZAN,1978,1,9.8
17908,KOZAN,1978,2,10.9
17908,KOZAN,1978,3,12.8
17908,KOZAN,1978,4,17.0
17908,KOZAN,1978,5,20.4
17908,KOZAN,1978,6,24.3
17908,KOZAN,1978,7,29.9
17908,KOZAN,1978,8,27.8
17908,KOZAN,1978,9,23.7
17908,KOZAN,1978,10,21.7
17908,KOZAN,1978,11,12.7
17908,KOZAN,1978,12,9.6
17908,KOZAN,1978,13,18.4
17908,KOZAN,1979,1,8.7
17908,KOZAN,1979,2,11.7
17908,KOZAN,1979,3,13.9
17908,KOZAN,1979,4,18.4
17908,KOZAN,1979,5,22.1
17908,KOZAN,1979,6,26.5
17908,KOZAN,1979,7,29.1
17908,KOZAN,1979,8,29.1
17908,KOZAN,1979,9,28.0
17908,KOZAN,1979,10,21.9
17908,KOZAN,1979,11,17.3
17908,KOZAN,1979,12,9.7
17908,KOZAN,1979,13,19.7
17908,KOZAN,1980,1,6.6
17908,KOZAN,1980,2,9.8
17908,KOZAN,1980,3,12.6
17908,KOZAN,1980,4,16.7
17908,KOZAN,1980,5,21.7
17908,KOZAN,1980,6,27.7
17908,KOZAN,1980,7,30.4
17908,KOZAN,1980,8,30.2
17908,KOZAN,1980,9,26.0
17908,KOZAN,1980,10,21.7
17908,KOZAN,1980,11,15.9
17908,KOZAN,1980,12,10.9
17908,KOZAN,1980,13,19.2
17908,KOZAN,1981,1,7.6
17908,KOZAN,1981,2,8.7
17908,KOZAN,1981,3,15.1
17908,KOZAN,1981,4,17.4
17908,KOZAN,1981,5,19.6
17908,KOZAN,1981,6,26.3
17908,KOZAN,1981,7,28.6
17908,KOZAN,1981,8,29.1
17908,KOZAN,1981,9,27.9
17908,KOZAN,1981,10,23.0
17908,KOZAN,1981,11,12.8
17908,KOZAN,1981,12,12.6
17908,KOZAN,1981,13,19.1
